Feature, Required Features
com.oracle.svm.methodhandles.MethodHandleFeature, []
com.oracle.svm.graal.isolated.IsolateAwareObjectConstantEqualityFeature, []
com.oracle.svm.graal.isolated.DisableSnippetCountersFeature, []
com.oracle.svm.graal.meta.amd64.AMD64RuntimeCodeInstallerPlatformHelperFeature, []
com.oracle.svm.enterprise.truffle.i, []
com.oracle.svm.enterprise.truffle.j, [com.oracle.svm.enterprise.truffle.i]
com.oracle.svm.graal.AMD64ArrayIndexOfForeignCallsFeature, []
com.oracle.svm.hosted.fieldfolding.StaticFinalFieldFoldingFeature, []
com.oracle.svm.enterprise.hosted.objectinlining.e, []
com.oracle.svm.enterprise.hosted.objectinlining.b, []
com.oracle.svm.enterprise.graal.amd64.b, []
com.oracle.svm.enterprise.graal.amd64.a, []
com.oracle.svm.enterprise.graal.c, []
com.oracle.svm.hosted.classinitialization.ClassInitializationFeature, []
com.oracle.svm.enterprise.core.posix.mpk.d, []
com.oracle.svm.enterprise.core.posix.heapdump.a, []
com.oracle.svm.enterprise.core.auximage.e, []
com.oracle.svm.enterprise.core.posix.a, [com.oracle.svm.enterprise.core.auximage.e]
com.oracle.svm.enterprise.core.heapdump.d, []
com.oracle.svm.enterprise.core.heapdump.c, []
com.oracle.svm.enterprise.core.graal.jdk.a, []
com.oracle.svm.enterprise.core.auximage.ao, []
com.oracle.svm.enterprise.core.amd64.k, []
com.oracle.svm.enterprise.core.amd64.g, []
com.oracle.svm.enterprise.core.amd64.f, []
com.oracle.svm.enterprise.core.amd64.a, []
com.oracle.svm.enterprise.core.k, []
com.oracle.svm.enterprise.core.f, []
com.oracle.svm.enterprise.core.e, []
com.oracle.svm.enterprise.core.a, []
com.oracle.svm.hosted.image.sources.SourceCache$SourceCacheFeature, []
com.oracle.svm.hosted.c.CGlobalDataFeature, []
com.oracle.svm.core.jdk.RuntimeFeature, []
com.oracle.svm.core.thread.ThreadListenerFeature, []
com.oracle.svm.core.jdk.management.ManagementFeature, [com.oracle.svm.core.jdk.RuntimeFeature com.oracle.svm.core.thread.ThreadListenerFeature]
com.oracle.svm.core.genscavenge.graal.HeapFeature, [com.oracle.svm.core.jdk.RuntimeFeature com.oracle.svm.core.jdk.management.ManagementFeature]
com.oracle.svm.core.util.CounterFeature, []
com.oracle.svm.core.genscavenge.graal.BarrierSnippetCountersFeature, [com.oracle.svm.core.util.CounterFeature]
com.oracle.svm.core.genscavenge.UnalignedHeapChunkMemoryWalkerAccessFeature, []
com.oracle.svm.core.genscavenge.MemoryWalkerFeature, []
com.oracle.svm.core.genscavenge.AlignedHeapChunkMemoryWalkerAccessFeature, []
com.oracle.svm.core.genscavenge.PinnedObjectImpl$PinnedObjectFeature, []
com.oracle.svm.core.posix.thread.PosixVMThreadsFeature, []
com.oracle.svm.core.posix.thread.PosixThreadsFeature, []
com.oracle.svm.core.posix.pthread.PthreadVMLockFeature, []
com.oracle.svm.core.posix.linux.libc.LibCFeature, []
com.oracle.svm.core.posix.linux.LinuxSystemPropertiesFeature, []
com.oracle.svm.core.posix.linux.LinuxStackOverflowSupportFeature, []
com.oracle.svm.core.posix.linux.LinuxProcessPropertiesSupport$ImagePropertiesFeature, []
com.oracle.svm.core.posix.linux.LinuxPhysicalMemory$PhysicalMemoryFeature, []
com.oracle.svm.core.posix.linux.LinuxImageSingletonsFeature, [com.oracle.svm.core.posix.linux.libc.LibCFeature]
com.oracle.svm.core.posix.linux.LinuxImageHeapProviderFeature, []
com.oracle.svm.core.posix.amd64.AMD64UContextRegisterDumperFeature, []
com.oracle.svm.core.posix.UnmanagedMemoryFeature, []
com.oracle.svm.core.posix.IgnoreSIGPIPEFeature, []
com.oracle.svm.core.posix.PosixVirtualMemoryProviderFeature, []
com.oracle.svm.core.posix.NativeSecureRandomFilesCloser, []
com.oracle.svm.core.posix.PosixSubstrateSegfaultHandlerFeature, []
com.oracle.svm.core.posix.PosixSubstrateOperatingSystemMXBeanFeature, [com.oracle.svm.core.jdk.management.ManagementFeature]
com.oracle.svm.core.posix.PosixRawFileOperationFeature, []
com.oracle.svm.core.posix.PosixNativeLibraryFeature, []
com.oracle.svm.core.posix.PosixLogHandlerFeature, []
com.oracle.svm.core.jdk11.reflect.SubstrateReflectionAccessorFactoryJDK11Feature, []
com.oracle.svm.core.jdk11.localization.LocalizationFeatureJDK11OrLater, []
com.oracle.svm.core.jdk11.JavaNetHttpFeature, []
com.oracle.svm.core.jdk11.JDKVersionSpecificResourceBuilderFeature, []
com.oracle.svm.core.os.OSCommittedMemoryProviderFeature, []
com.oracle.svm.core.os.ImageHeapProviderFeature, []
com.oracle.svm.enterprise.core.monitor.b, []
com.oracle.svm.core.jvmstat.PerfDataFeature, []
com.oracle.svm.core.identityhashcode.SubstrateIdentityHashCodeFeature, []
com.oracle.svm.core.handles.ObjectHandlesFeature, []
com.oracle.svm.core.amd64.AMD64FrameAccessFeature, []
com.oracle.svm.core.amd64.AMD64CPUFeatureAccessFeature, []
com.oracle.svm.core.allocationprofile.AllocationProfilingFeature, []
com.oracle.svm.core.hub.DynamicHubFeature, []
com.oracle.svm.core.hub.ClassForNameFeature, []
com.oracle.svm.core.threadlocal.VMThreadLocalInfosFeature, []
com.oracle.svm.core.meta.SubstrateObjectConstantEqualityFeature, []
com.oracle.svm.core.thread.SafepointFeature, []
com.oracle.svm.core.thread.VMOperationControlFeature, [com.oracle.svm.core.thread.SafepointFeature]
com.oracle.svm.core.thread.ThreadingSupportFeature, []
com.oracle.svm.core.util.ImageHeapMapFeature, []
com.oracle.svm.core.util.HostedStringDeduplicationFeature, []
com.oracle.svm.core.graal.amd64.SubstrateAMD64Feature, []
com.oracle.svm.core.graal.amd64.AMD64NativeImagePatcherFeature, []
